Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
111,Epic Tails,-,-,-,"$505,979",259,"$505,979",May 12,Notorious Pictures,false
112,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,-,-,-,"$499,220",212,"$605,569",Mar 3,Sony Pictures Releasing,false
113,Close Your Eyes,-,-,-,"$492,469",150,"$506,366",Sep 29,Avalon,false
114,Mavka: The Forest Song,-,-,-,"$489,590",273,"$898,072",Apr 28,Selecta Visión,false
115,Missing,-,-,-,"$468,694",277,"$468,694",Feb 24,Sony Pictures Releasing,false
116,Master Gardener,-,-,-,"$440,334",109,"$440,334",Jun 9,Caramel Films,false
117,A Brighter Tomorrow,-,-,-,"$438,119",90,"$439,356",Sep 15,-,false
118,Strays,-,-,-,"$431,639",297,"$431,639",Sep 22,Universal Pictures International (UPI),false
119,Esta ambición desmedida,-,-,-,"$427,447",148,"$482,142",Oct 27,Avalon,false
120,The Old Oak,-,-,-,"$415,398",92,"$417,975",Nov 17,Vértigo Films,false
121,The Black Demon,-,-,-,"$411,868",182,"$436,184",Jul 7,DeAPlaneta,false
122,Verano en rojo,-,-,-,"$411,184",199,"$411,227",Sep 8,DeAPlaneta,false
123,Decision to Leave,-,-,-,"$389,773",83,"$391,245",Jan 20,Avalon,false
124,The Rye Horn,-,-,-,"$384,425",80,"$426,291",Oct 13,Elastica,false
125,The Girls Are Alright,-,-,-,"$372,585",72,"$368,245",Aug 25,Elastica,false
126,Aftersun,-,-,-,"$366,910",35,"$503,032",Dec 16,Elastica,false
127,The Eight Mountains,-,-,-,"$364,666",86,"$371,046",May 19,Avalon,false
128,The Quiet Girl,-,-,-,"$354,775",54,"$355,609",Feb 24,-,false
129,Marlowe,-,-,-,"$348,754",151,"$348,754",May 12,Sun Distribution,false
130,Retribution,-,-,-,"$345,764",208,"$345,764",Oct 27,-,false
131,Kandahar,-,-,-,"$342,344",227,"$342,365",Jun 16,DeAPlaneta,false
132,The Crime Is Mine,-,-,-,"$334,991",119,"$338,684",May 5,Caramel Films,false
133,Maybe I Do,-,-,-,"$333,770",215,"$333,849",Apr 21,-,false
134,Beautiful Disaster,-,-,-,"$329,051",291,"$331,841",Apr 14,Sun Distribution,false
135,The Offering,-,-,-,"$306,042",189,"$306,082",Jan 27,Vértice 360,false
136,Renfield,-,-,-,"$304,782",280,"$304,782",Apr 14,Universal Pictures International (UPI),false
137,Terrifier 2,-,-,-,"$304,628",158,"$304,731",Feb 24,Selecta Visión,false
138,Los buenos modales,-,-,-,"$298,975",300,"$298,975",Apr 28,Warner Bros.,false
139,Poker Face,-,-,-,"$295,812",226,"$295,868",Jan 13,Vértice 360,false
140,The Movie Teller,-,-,-,"$291,670",158,"$295,660",Oct 27,A Contracorriente Films,false
141,Inspector Sun,-,-,-,"$285,612",243,"$409,672",Dec 30,-,false
142,Book Club: The Next Chapter,-,-,-,"$275,752",267,"$275,752",May 12,Universal Pictures International (UPI),false
143,Empire of Light,-,-,-,"$272,022",66,"$272,022",Mar 31,Walt Disney Studios Motion Pictures,false
144,Dumb Money,-,-,-,"$262,766",223,"$262,866",Oct 5,DeAPlaneta,false
145,Bed Rest,-,-,-,"$259,104",215,"$279,523",Jul 7,Sun Distribution,false
146,Jump!,-,-,-,"$253,346",202,"$253,446",Sep 1,A Contracorriente Films,false
147,Matria,-,-,-,"$246,038",58,"$245,319",Mar 24,Avalon,false
148,Strange Way of Life,-,-,-,"$243,897",181,"$244,525",May 26,BTeam Pictures,false
149,Lobo feroz,-,-,-,"$236,751",160,"$237,053",Jan 27,Filmax,false
150,Heaven Can't Wait,-,-,-,"$236,002",67,"$236,778",Feb 24,-,false
151,Under Therapy,-,-,-,"$230,777",101,"$239,457",Mar 17,Syldavia Cinema,false
152,Creatura,-,-,-,"$221,118",69,"$239,746",Sep 8,Avalon,false
153,The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),-,-,-,"$218,089",201,"$218,089",Nov 24,Warner Bros.,false
154,Devotion,-,-,-,"$216,326",209,"$216,326",Jan 27,Diamond Films,false
155,Una vida no tan simple,-,-,-,"$215,171",61,"$224,158",Jun 23,A Contracorriente Films,false
156,The Lord of the Rings: The Two Towers2023 Re-release,-,-,-,"$211,284",201,"$243,868",Nov 17,Warner Bros.,false
157,Watcher,-,-,-,"$210,901",203,"$210,901",Mar 17,Universal Pictures International (UPI),false
158,Just Super,-,-,-,"$210,261",201,"$210,261",Jun 16,VerCine,false
159,Love Again,-,-,-,"$206,710",248,"$206,710",May 12,Sony Pictures Releasing,false
160,Teresa,-,-,-,"$200,202",93,"$203,197",Nov 24,BTeam Pictures,false
161,The Tenderness,-,-,-,"$198,071",222,"$198,071",Sep 29,Universal Pictures International (UPI),false
162,Jeepers Creepers: Reborn,-,-,-,"$197,029",161,"$197,029",May 12,Selecta Visión,false
163,My Fairy Troublemaker,-,-,-,"$191,976",268,"$191,976",Mar 10,-,false
164,Tad the Lost Explorer and the Emerald Tablet,-,-,-,"$190,217",442,"$12,825,834",Aug 26,Paramount Pictures International,false
165,Robot Dreams,-,-,-,"$190,020",168,"$519,966",Dec 8,BTeam Pictures,false
166,Knights of the Zodiac,-,-,-,"$188,036",215,"$188,036",May 26,Sony Pictures Releasing,false
167,Holy Spider,-,-,-,"$186,684",80,"$186,880",Jan 13,Karma Films,false
168,The Son,-,-,-,"$185,810",130,"$185,810",Mar 3,Diamond Films,false
169,Godland,-,-,-,"$185,712",32,"$188,228",Aug 11,A Contracorriente Films,false
170,Godzilla Minus One,-,-,-,"$182,427",61,"$227,853",Dec 15,-,false
171,The Taste of Things,-,-,-,"$173,164",111,"$434,442",Dec 22,A Contracorriente Films,false
172,About My Father,-,-,-,"$172,209",243,"$172,209",Jun 9,Sun Distribution,false
173,Women Talking,-,-,-,"$169,518",105,"$169,518",Feb 17,Universal Pictures International (UPI),false
174,Silent Night,-,-,-,"$167,533",179,"$167,715",Dec 1,DeAPlaneta,false
175,They Shot the Piano Player,-,-,-,"$167,080",87,"$170,598",Oct 6,BTeam Pictures,false
176,Speak Sunlight,-,-,-,"$160,254",70,"$160,254",Sep 22,Adso Films,false
177,The Boogeyman: The Origin of the Myth,-,-,-,"$157,844",106,"$157,964",Aug 11,Filmax,false
178,Golda,-,-,-,"$157,126",107,"$157,126",Dec 15,Sun Distribution,false
179,Jeanne du Barry,-,-,-,"$150,955",142,"$150,955",Sep 22,Notorious Pictures,false
180,Next Goal Wins,-,-,-,"$149,340",274,"$667,510",Dec 29,Walt Disney Pictures,false
181,Monster,-,-,-,"$147,042",71,"$147,785",Sep 29,Vértigo Films,false
182,Whitney Houston: I Wanna Dance with Somebody,-,-,-,"$144,982",334,"$512,023",Dec 23,Sony Pictures Releasing,false
183,Cairo Conspiracy,-,-,-,"$141,870",55,"$141,870",Apr 14,-,false
184,Siege,-,-,-,"$141,748",193,"$141,748",May 5,Sony Pictures Releasing,false
185,The Enchanted,-,-,-,"$132,729",41,"$132,061",Jun 2,A Contracorriente Films,false
186,She Said,-,-,-,"$128,869",167,"$210,891",Dec 30,Universal Pictures International (UPI),false
187,Till,-,-,-,"$125,881",87,"$125,881",Feb 24,Universal Pictures International (UPI),false
188,Champions,-,-,-,"$123,750",254,"$125,686",Dec 15,Universal Pictures International (UPI),false
189,Upon Entry,-,-,-,"$122,201",50,"$122,759",Jun 16,Karma Films,false
190,Something Is About to Happen,-,-,-,"$120,651",112,"$125,125",Nov 17,Wanda Visión S.A.,false
191,Let the Dance Begin,-,-,-,"$119,809",29,"$126,154",Apr 7,-,false
192,Doraemon the Movie: Nobita's New Dinosaur,-,-,-,"$118,958",232,"$276,184",Nov 10,Alfa Films,false
193,Journey to Bethlehem,-,-,-,"$118,548",230,"$118,548",Dec 15,Sony Pictures Releasing,false
194,Rally Road Racers,-,-,-,"$116,952",204,"$117,058",Jul 28,Vértigo Films,false
195,Driving Madeleine,-,-,-,"$116,876",85,"$117,242",Mar 24,A Contracorriente Films,false
196,Tin & Tina,-,-,-,"$112,392",148,"$112,450",Mar 31,Filmax,false
197,The Portable Door,-,-,-,"$111,284",230,"$111,293",Jun 23,DeAPlaneta,false
198,Un cel de plom,-,-,-,"$110,656",57,"$110,656",Apr 28,Filmax,false
199,Fallen Leaves,-,-,-,"$109,607",115,"$781,961",Dec 29,Avalon,false
200,In the Company of Women,-,-,-,"$107,681",56,"$108,979",May 5,Filmax,false
